problem,test,base,stat,p,A12,median_diff,p_holm,outcome
GearTrain,SSA,CMAES,16.0,0.763024600552995,0.5032,0.0,1.0,tie
GearTrain,SSA,RS,12.0,0.7252134073972734,0.4864,0.0,1.0,tie
GearTrain,HHO,DE,0.0,3.60258475677659e-05,0.9144,2.4553825268882408,0.004359127555699674,loss
GearTrain,HHO,PSO,8.0,0.25683925795785656,0.56,0.0,1.0,tie
GearTrain,HHO,LSHADE,0.0,2.1134876647715308e-05,0.9440000000000001,10.0,0.002684129334259844,loss
GearTrain,HHO,CMAES,6.0,0.31731050786291415,0.5416,0.0,1.0,tie
GearTrain,HHO,RS,4.0,0.33399825582199794,0.5231999999999999,0.0,1.0,tie
GearTrain,AOA,DE,0.0,2.1911593796459957e-05,0.94,2.4553825268882408,0.0027608608183539544,loss
GearTrain,AOA,PSO,0.0,0.025347318677468252,0.6,0.0,1.0,tie
GearTrain,AOA,LSHADE,0.0,1.2837744618433384e-05,0.96,10.0,0.0016817445450147733,loss
GearTrain,AOA,CMAES,0.0,0.05878172135535886,0.58,0.0,1.0,tie
GearTrain,AOA,RS,0.0,0.10247043485974937,0.56,0.0,1.0,tie
IBeamDeflection,GWO,DE,94.0,0.06670159101486206,0.8352,4.046082059348042e-05,1.0,tie
IBeamDeflection,GWO,PSO,0.0,5.960464477539063e-08,1.0,4.046082477740401e-05,1.609325408935547e-05,loss
IBeamDeflection,GWO,LSHADE,0.0,5.960464477539063e-08,1.0,4.046081639217524e-05,1.609325408935547e-05,loss
IBeamDeflection,GWO,CMAES,1.0,1.1920928955078125e-07,0.9840000000000001,3.9534813461728395e-05,1.9669532775878906e-05,loss
IBeamDeflection,GWO,RS,0.0,5.960464477539063e-08,0.0,-0.10159359066955952,1.609325408935547e-05,win
IBeamDeflection,WOA,DE,115.0,0.20993918180465698,0.8,1.963668974117097e-08,1.0,tie
IBeamDeflection,WOA,PSO,0.0,5.960464477539063e-08,1.0,1.964087366475773e-08,1.609325408935547e-05,loss
IBeamDeflection,WOA,LSHADE,0.0,5.960464477539063e-08,1.0,1.9632488435984054e-08,1.609325408935547e-05,loss
IBeamDeflection,WOA,CMAES,8.0,1.4901161193847656e-06,0.09280000000000001,-9.063704420108567e-07,0.00022202730178833008,win
IBeamDeflection,WOA,RS,0.0,5.960464477539063e-08,0.0,-0.10163403185346326,1.609325408935547e-05,win
IBeamDeflection,SCA,DE,10.0,2.562999725341797e-06,0.9344,0.0028551572014046587,0.00037163496017456055,loss
IBeamDeflection,SCA,PSO,0.0,5.960464477539063e-08,1.0,0.0028551572055885823,1.609325408935547e-05,loss
IBeamDeflection,SCA,LSHADE,0.0,5.960464477539063e-08,1.0,0.0028551571972033536,1.609325408935547e-05,loss
IBeamDeflection,SCA,CMAES,0.0,5.960464477539063e-08,1.0,0.002854231194272907,1.609325408935547e-05,loss
IBeamDeflection,SCA,RS,0.0,5.960464477539063e-08,0.0,-0.09877889428874834,1.609325408935547e-05,win
IBeamDeflection,SSA,DE,62.0,0.005578815937042236,0.88,0.0010365828973264673,0.5355663299560547,tie
IBeamDeflection,SSA,PSO,0.0,5.960464477539063e-08,1.0,0.001036582901510391,1.609325408935547e-05,loss
IBeamDeflection,SSA,LSHADE,0.0,5.960464477539063e-08,1.0,0.001036582893125162,1.609325408935547e-05,loss
IBeamDeflection,SSA,CMAES,3.0,2.980232238769531e-07,0.9856,0.0010356568901947153,4.649162292480469e-05,loss
IBeamDeflection,SSA,RS,0.0,5.960464477539063e-08,0.0015999999999999658,-0.10059746859282652,1.609325408935547e-05,win
IBeamDeflection,HHO,DE,9.0,1.9669532775878906e-06,0.9280000000000002,0.03119904541770815,0.0002911090850830078,loss
IBeamDeflection,HHO,PSO,0.0,5.960464477539063e-08,1.0,0.031199045421892075,1.609325408935547e-05,loss
IBeamDeflection,HHO,LSHADE,0.0,5.960464477539063e-08,1.0,0.031199045413506845,1.609325408935547e-05,loss
IBeamDeflection,HHO,CMAES,18.0,1.5079975128173828e-05,0.8240000000000001,0.0311981194105764,0.0019603967666625977,loss
IBeamDeflection,HHO,RS,146.0,0.6720751523971558,0.29599999999999993,-0.07043500607244485,1.0,tie
IBeamDeflection,AOA,DE,75.0,0.017312347888946533,0.8528,0.0002996992406591271,1.0,tie
IBeamDeflection,AOA,PSO,0.0,5.960464477539063e-08,1.0,0.0002996992448430507,1.609325408935547e-05,loss
IBeamDeflection,AOA,LSHADE,0.0,5.960464477539063e-08,1.0,0.0002996992364578219,1.609325408935547e-05,loss
IBeamDeflection,AOA,CMAES,0.0,5.960464477539063e-08,1.0,0.00029877323352737507,1.609325408935547e-05,loss
IBeamDeflection,AOA,RS,0.0,5.960464477539063e-08,0.0,-0.10133435224949387,1.609325408935547e-05,win
DiscBrake,GWO,DE,,1.0,0.5,0.0,1.0,tie
DiscBrake,GWO,PSO,,1.0,0.5,0.0,1.0,tie
DiscBrake,GWO,LSHADE,,1.0,0.5,0.0,1.0,tie
DiscBrake,GWO,CMAES,,1.0,0.5,0.0,1.0,tie
