problem,algorithm,best,median,mean,std,worst,feas_rate,mean_gap
IBeamDeflection,RS,0.01354141887132294,0.014402892657381755,0.014518963640790045,0.0005505854462629194,0.01574953739752597,1.0,0.11051343043039637
IBeamDeflection,SCA,0.013074578435099899,0.013130216543600597,0.013144334542584386,6.761571327294094e-05,0.01330656682010761,1.0,0.0053720365137474345
IBeamDeflection,SSA,0.013075176576564934,0.013091051320406976,0.013102801136757929,3.001300830555578e-05,0.013199481397889904,1.0,0.00219526673024746
IBeamDeflection,WOA,0.013074118951718132,0.013074119285846906,0.013074119938755489,1.990427935876865e-09,0.013074128509064087,1.0,1.5250575939846943e-06
PressureVessel,AOA,6116.1701755096965,6438.03152079505,6810.928662570044,967.1561098033882,9904.578924504838,1.0,0.12396860413553552
PressureVessel,CMAES,6059.714280338753,6090.52616184904,6178.583384792766,145.69678597882964,6410.086727744654,1.0,0.019616281031816993
PressureVessel,DE,6059.714282166426,6059.71430082751,6059.714321194732,5.14661652027648e-05,6059.714467699121,1.0,2.482215224787623e-09
PressureVessel,GWO,6060.499746740323,6064.691830601239,6203.668984935013,315.6197545630298,7363.787791563613,1.0,0.023756012573654478
PressureVessel,HHO,6191.794238250053,7057.652327853224,7165.2685212808055,677.7536353983514,9362.136403764138,1.0,0.18244328447882288
PressureVessel,LSHADE,6059.714277189576,6059.71429742166,6062.179245149582,8.531421047409518,6090.526167795709,1.0,0.0004067760387237851
PressureVessel,PSO,6059.714303420235,6410.086743776631,6464.44924547433,421.56086273076977,7332.842596797931,1.0,0.06679108788692979
PressureVessel,RS,6793.168747941216,9022.827250812987,8865.963009676148,1200.3804359772262,11173.676343716063,1.0,0.463099169290486
PressureVessel,SCA,6715.557274233626,7774.598500716816,7690.291668783886,733.3682600413989,9187.633689759454,1.0,0.26908485180001246
PressureVessel,SSA,6091.316405908028,6499.2701172440775,6536.918998744098,308.0954656544036,7301.555226908041,1.0,0.07875035642981319
PressureVessel,WOA,6059.950465953576,6412.44355772591,6652.865040719068,593.2173524380761,7544.584565361957,1.0,0.09788426861859124
SpeedReducer,AOA,3029.0277705594076,3183.8163336490247,3163.7856654367865,74.73962328784506,3314.2044005891603,1.0,0.05655884847692753
SpeedReducer,CMAES,2994.471059403027,2994.471062944993,2994.471062613464,1.541464057720134e-06,2994.471065249165,1.0,1.556119180694734e-05
